class,policy,reward,seed,stage,win,turns,hp,max_hp,hp_spent,hp_restored,cards_drawn,casts,deck_size,timeout
tide,greedy,skip,10026,2,1,6,18,30,0,20,0,10,20,0
tide,greedy,skip,10026,3,1,8,9,30,0,39,0,14,20,0
tide,greedy,skip,10026,4,1,9,8,30,0,59,0,16,20,0
tide,greedy,skip,10027,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10027,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10027,2,1,5,21,30,0,15,0,9,20,0
tide,greedy,skip,10027,3,1,11,18,30,0,76,0,20,20,0
tide,greedy,skip,10027,4,0,6,0,30,0,29,0,9,20,0
tide,greedy,skip,10028,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10028,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10028,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10028,3,1,10,15,30,0,65,0,18,20,0
tide,greedy,skip,10028,4,1,7,8,30,0,31,0,10,20,0
tide,greedy,skip,10029,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10029,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10029,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10029,3,1,8,7,30,0,31,0,14,20,0
tide,greedy,skip,10029,4,0,4,0,30,0,11,0,6,20,0
tide,greedy,skip,10030,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10030,1,1,4,23,30,0,14,0,6,20,0
tide,greedy,skip,10030,2,1,5,13,30,0,7,0,8,20,0
tide,greedy,skip,10030,3,1,9,13,30,0,55,0,15,20,0
tide,greedy,skip,10030,4,1,11,13,30,0,85,0,19,20,0
tide,greedy,skip,10031,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10031,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10031,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10031,3,1,7,13,30,0,29,0,12,20,0
tide,greedy,skip,10031,4,1,10,8,30,0,69,0,17,20,0
tide,greedy,skip,10032,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10032,1,1,4,10,30,0,0,0,5,20,0
tide,greedy,skip,10032,2,1,5,14,30,0,8,0,7,20,0
tide,greedy,skip,10032,3,1,8,15,30,0,45,0,14,20,0
tide,greedy,skip,10032,4,0,6,0,30,0,30,0,9,20,0
tide,greedy,skip,10033,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10033,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10033,2,1,5,19,30,0,13,0,9,20,0
tide,greedy,skip,10033,3,1,9,11,30,0,51,0,16,20,0
tide,greedy,skip,10033,4,1,8,10,30,0,52,0,13,20,0
tide,greedy,skip,10034,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10034,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10034,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10034,3,1,11,10,30,0,70,0,20,20,0
tide,greedy,skip,10034,4,0,4,0,30,0,11,0,6,20,0
tide,greedy,skip,10035,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10035,1,1,4,23,30,0,14,0,6,20,0
tide,greedy,skip,10035,2,1,6,13,30,0,15,0,9,20,0
tide,greedy,skip,10035,3,1,8,12,30,0,40,0,13,20,0
tide,greedy,skip,10035,4,1,7,1,30,0,30,0,11,20,0
tide,greedy,skip,10036,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10036,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10036,2,1,5,20,30,0,14,0,8,20,0
tide,greedy,skip,10036,3,1,11,18,30,0,76,0,19,20,0
tide,greedy,skip,10036,4,1,7,5,30,0,27,0,11,20,0
tide,greedy,skip,10037,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10037,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10037,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10037,3,1,7,17,30,0,35,0,12,20,0
tide,greedy,skip,10037,4,1,14,2,30,0,111,0,25,20,0
tide,greedy,skip,10038,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10038,1,1,3,21,30,0,5,0,5,20,0
tide,greedy,skip,10038,2,1,6,21,30,0,23,0,10,20,0
tide,greedy,skip,10038,3,1,9,15,30,0,55,0,17,20,0
tide,greedy,skip,10038,4,1,6,9,30,0,20,0,8,20,0
tide,greedy,skip,10039,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10039,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10039,2,1,5,21,30,0,15,0,9,20,0
tide,greedy,skip,10039,3,1,8,10,30,0,38,0,14,20,0
tide,greedy,skip,10039,4,1,9,13,30,0,60,0,15,20,0
tide,greedy,skip,10040,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10040,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10040,2,1,6,21,30,0,23,0,10,20,0
tide,greedy,skip,10040,3,1,10,24,30,0,70,0,20,20,0
tide,greedy,skip,10040,4,1,11,12,30,0,80,0,20,20,0
tide,greedy,skip,10041,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10041,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10041,2,1,5,13,30,0,7,0,8,20,0
tide,greedy,skip,10041,3,1,9,18,30,0,56,0,17,20,0
tide,greedy,skip,10041,4,1,8,7,30,0,47,0,14,20,0
tide,greedy,skip,10042,0,1,3,30,30,0,4,0,4,20,0
tide,greedy,skip,10042,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10042,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10042,3,1,8,12,30,0,40,0,13,20,0
tide,greedy,skip,10042,4,0,5,0,30,0,19,0,7,20,0
tide,greedy,skip,10043,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10043,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10043,2,1,5,20,30,0,14,0,8,20,0
tide,greedy,skip,10043,3,1,8,7,30,0,39,0,14,20,0
tide,greedy,skip,10043,4,0,6,0,30,0,27,0,10,20,0
tide,greedy,skip,10044,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10044,1,1,3,17,30,0,0,0,4,20,0
tide,greedy,skip,10044,2,1,6,20,30,0,22,0,10,20,0
tide,greedy,skip,10044,3,1,9,13,30,0,55,0,16,20,0
tide,greedy,skip,10044,4,1,9,5,30,0,52,0,14,20,0
tide,greedy,skip,10045,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10045,1,1,4,23,30,0,9,0,6,20,0
tide,greedy,skip,10045,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10045,3,1,7,16,30,0,32,0,12,20,0
tide,greedy,skip,10045,4,0,6,0,30,0,27,0,9,20,0
tide,greedy,skip,10046,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10046,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10046,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10046,3,1,9,10,30,0,54,0,16,20,0
tide,greedy,skip,10046,4,1,7,10,30,0,31,0,10,20,0
tide,greedy,skip,10047,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10047,1,1,3,21,30,0,0,0,4,20,0
tide,greedy,skip,10047,2,1,5,18,30,0,12,0,8,20,0
tide,greedy,skip,10047,3,1,6,20,30,0,30,0,11,20,0
tide,greedy,skip,10047,4,1,9,9,30,0,55,0,14,20,0
tide,greedy,skip,10048,0,1,3,26,30,0,0,0,4,20,0
tide,greedy,skip,10048,1,1,4,9,30,0,0,0,5,20,0
tide,greedy,skip,10048,2,1,4,14,30,0,0,0,6,20,0
tide,greedy,skip,10048,3,1,12,9,30,0,83,0,23,20,0
tide,greedy,skip,10048,4,1,6,4,30,0,18,0,9,20,0
tide,greedy,skip,10049,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10049,1,1,3,23,30,0,2,0,5,20,0
tide,greedy,skip,10049,2,1,6,22,30,0,24,0,10,20,0
tide,greedy,skip,10049,3,1,8,11,30,0,41,0,14,20,0
tide,greedy,skip,10049,4,1,8,3,30,0,40,0,12,20,0
tide,greedy,skip,10050,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10050,1,1,2,23,30,0,0,0,4,20,0
tide,greedy,skip,10050,2,1,5,18,30,0,12,0,8,20,0
